Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",772,1,PATXI USOBIAGA LAKUNZA,ESP,TOP  1. | TOP  1. [4.47],40-,44+
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2266,29,RYUICHI MURAI,JPN,33+  27. | 30-  32. [29.62],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4942,30,DAISUKE KONISHI,JPN,24   35. | 35   26. [30.17],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",3358,31,ARTYOM DEVYATERIKOV,KAZ,24+  34. | 32   27. [30.30],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",778,32,VICTOR ESTELLER OCAÑA,ESP,27   30. | 30   30. [30.50],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5005,33,MASAKI SHIBATA,JPN,33-  29. | 30-  32. [30.70],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5006,34,YONGHO JANG,KOR,26+  32. | 29-  34. [32.98],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2045,35,HONGIL KIM,KOR,26   33. | 24   38. [35.41],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5007,36,JESSE OFFNER,NZL,23   36. | 26   36. [36.00],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5008,37,MARK PUGH-WILLIAMS,NZL,19   37. | 25   37. [37.25],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5009,38,DANIEL TIRADO,COL,16-  40. | 28+  35. [37.42],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2214,39,KA-CHUN YAU,HKG,19   37. | 23-  39. [38.24],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",3727,40,CHASE GATLAND,NZL,17-  39. | 17+  40. [39.50],,
