Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",1214,1,JAKOB SCHUBERT,AUT,TOP  1. | TOP  1. [5.48],TOP,TOP
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",2034,29,JAHA KIM,KOR,39-  40. | 30-  21. [29.69],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",855,30,STEFANO GHISOLFI,ITA,41-  24. | 26-  34. [30.52],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",2033,31,JABEE KIM,KOR,40   34. | 28   29. [31.67],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3125,32,SEBASTIAN HALENKE,GER,36   45. | 29+  23. [32.88],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",6096,33,GEOFFRAY DE FLAUGERGUES,FRA,44-  18. | 14-  64. [35.07],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",6092,34,SANTIAGO DE ALBA FLORES,MEX,36-  48. | 29   25. [35.53],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",5820,35,MAURICIO HUERTA,MEX,41-  24. | 20-  43. [36.00],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",1481,35,ANTON MARDASHOV,UKR,41-  24. | 20-  43. [36.00],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3897,35,TOMAS RAVANAL,CHI,41-  24. | 20-  43. [36.00],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",5014,38,YURIY DZYUBYAK,UKR,40-  35. | 21-  40. [37.65],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",5033,39,SERGEJ EPIH,SLO,35   52. | 28+  28. [38.52],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",5002,40,SEOLBIN SIM,KOR,40+  31. | 20-  43. [39.19],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",65,41,EVGENII ZAZULIN,RUS,39   37. | 20   42. [39.95],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",5151,42,HIDEKAZU ITO,JPN,42-  22. | 13   71. [41.22],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",78,43,NIKITA SUYUSHKIN,RUS,40+  31. | 19-  54. [41.57],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",4901,44,TRUONG NGO,NED,37   43. | 21-  40. [41.73],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",854,45,MARCELLO BOMBARDI,ITA,33   55. | 26   32. [42.28],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",4950,46,SILVIO REFFO,ITA,36-  48. | 23-  38. [43.37],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",6097,47,HUGO BERNARD-BRUNEL,FRA,37-  44. | 20-  43. [45.96],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",4943,48,DANIEL MORENO DE LOS HUERTO,ESP,30   58. | 25+  36. [46.28],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",1127,49,URBAN PRIMOZIC,SLO,36   45. | 20-  43. [46.99],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3111,50,DAVID FIRNENBURG,GER,39   37. | 17   60. [47.75],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3982,51,OR WECHSLER,ISR,27-  67. | 26   32. [48.04],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",5035,52,SANDRO DEUTSCHMANN,AUT,27   64. | 25   37. [49.04],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",6009,53,JOSÉ LUIS PALAO PEINADO,ESP,27   64. | 21+  39. [50.35],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3358,54,ARTYOM DEVYATERIKOV,KAZ,35   52. | 20-  43. [50.44],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",461,55,CHARLI BLEIN,FRA,32-  56. | 20-  43. [51.85],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3581,56,ELKO SCHELLINGERHOUT,NED,30   58. | 20-  43. [53.44],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",4877,57,JIACUO SUOLANG,CHN,36-  48. | 17+  57. [53.58],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3136,58,CESAR GROSSO,BRA,39-  40. | 13   71. [55.64],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",4945,59,LUKAS KÖB,AUT,36-  48. | 14-  64. [57.37],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",6098,60,ESTEBAN EGUEZ,ECU,30   58. | 18-  55. [57.47],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",5256,61,EDUARD MARIN GARCIA,ESP,31-  57. | 17+  57. [57.50],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",4949,62,FILIP BABICZ,POL,35   52. | 16-  62. [57.55],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",6099,63,PATRICK HEISINGER,AUT,27-  67. | 20-  43. [58.38],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3430,63,FRANZ KRAKENBERGER,SUI,27-  67. | 20-  43. [58.38],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3780,65,ANDRÉ NERES,POR,36   45. | 13   71. [58.93],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",2927,66,QINGHUA WANG,CHN,29-  63. | 17+  57. [60.45],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",5021,67,PAVLO VEKLA,UKR,27-  67. | 18-  55. [62.77],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",4874,68,DENIS ZHENDINSKIY,KAZ,30   58. | 13+  70. [64.54],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3135,69,ANDRÉ BEREZOSKI,BRA,27-  67. | 16   61. [65.81],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",6100,70,GUY SHAFIR,ISR,27-  67. | 16-  62. [66.61],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3428,71,KEVIN HEINIGER,SUI,30-  62. | 13   71. [68.42],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",4952,72,ANDRES QUINTEROS,ECU,27-  67. | 14-  64. [68.71],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",5922,73,SERGEY TERENTYEV,RUS,27   64. | 13   71. [70.05],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",6101,74,DAVID ULLOA,CRC,23+  77. | 14-  64. [71.56],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",5036,75,EIRIK BIRKELUND OLSEN,NOR,23-  78. | 14-  64. [72.02],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",1367,76,TOMAS BINTER,CZE,27-  67. | 13   71. [73.22],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",6102,76,PETR CERMAK,CZE,27-  67. | 13   71. [73.22],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3359,78,NIKITA DEVYATERIKOV,KAZ,12-  83. | 14-  64. [74.29],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",6103,79,EDUARDO MORA PARIENTE,MEX,26-  76. | 13   71. [75.75],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",5802,80,MIGUEL ANGEL HERNANDEZ MEDINA,MEX,16   82. | 13   71. [78.68],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",4230,81,SEBASTIAN PRIETO PERILLA,COL,17-  79. | 12   81. [80.25],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",6104,82,RICARDO NEVES,POR,17-  79. | 11-  83. [81.23],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",3978,83,ALON REINER,ISR,16+  81. | 12-  82. [81.50],,
