Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",772,1,PATXI USOBIAGA LAKUNZA,M,ESP,TOP  1. | TOP  1. [4.47],40-,44+
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",444,16,GAUTIER SUPPER,M,FRA,35-  18. | 38-  13. [16.82],33,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4988,17,HIROKI TSUNODA,M,JPN,36   16. | 38-  13. [15.23],28,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4864,18,IVAN KAUROV,M,RUS,34   24. | 37   17. [21.79],28,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4937,19,KAZUMA WATANABE,M,JPN,39+  14. | 37-  22. [17.55],28-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2261,20,MASAHIRO HIGUCHI,M,JPN,34   24. | 37   17. [21.79],28-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",1216,21,MARIO LECHNER,M,AUT,35-  18. | 32-  28. [23.57],25+,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5001,22,SAKAE NAKAHARA,M,JPN,40-  12. | 36-  24. [17.32],25,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5002,23,SEOLBIN SIM,M,KOR,35-  18. | 37   17. [19.25],25,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2269,24,KAZUTOSHI OGATA,M,JPN,34+  22. | 32-  28. [25.32],25,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5003,25,CHANGHYON LEE,M,KOR,34+  22. | 35+  25. [23.72],12,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2034,26,JAHA KIM,M,KOR,33   28. | 42-  11. [17.55],6-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5004,27,JEONGSU LEE,M,KOR,27   30. | 36   23. [26.49],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2046,28,SUNGBO SEO,M,KOR,34   24. | 30   30. [27.61],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2266,29,RYUICHI MURAI,M,JPN,33+  27. | 30-  32. [29.62],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4942,30,DAISUKE KONISHI,M,JPN,24   35. | 35   26. [30.17],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",3358,31,ARTYOM DEVYATERIKOV,M,KAZ,24+  34. | 32   27. [30.30],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",778,32,VICTOR ESTELLER OCAÑA,M,ESP,27   30. | 30   30. [30.50],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5005,33,MASAKI SHIBATA,M,JPN,33-  29. | 30-  32. [30.70],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5006,34,YONGHO JANG,M,KOR,26+  32. | 29-  34. [32.98],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2045,35,HONGIL KIM,M,KOR,26   33. | 24   38. [35.41],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5007,36,JESSE OFFNER,M,NZL,23   36. | 26   36. [36.00],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5008,37,MARK PUGH-WILLIAMS,M,NZL,19   37. | 25   37. [37.25],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5009,38,DANIEL TIRADO,M,COL,16-  40. | 28+  35. [37.42],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2214,39,KA-CHUN YAU,M,HKG,19   37. | 23-  39. [38.24],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",3727,40,CHASE GATLAND,M,NZL,17-  39. | 17+  40. [39.50],,
