Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",2254,1,SACHI AMMA,M,JPN,TOP  1. | TOP  1. [6.32],40+,43+
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",1221,36,MAX RUDIGIER,M,AUT,42   29. | 25+  43. [35.82],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",3581,37,ELKO SCHELLINGERHOUT,M,NED,36+  43. | 30+  29. [36.42],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",4945,38,LUKAS KÖB,M,AUT,38+  32. | 26   41. [36.73],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",2261,39,MASAHIRO HIGUCHI,M,JPN,37+  36. | 28+  33. [36.99],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",5627,39,MARKUS JUNG,M,GER,37+  36. | 28+  33. [36.99],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",3111,41,DAVID FIRNENBURG,M,GER,37   41. | 28+  33. [38.65],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",6185,42,LUDOVIC LEFEVRE,M,FRA,34+  47. | 28+  33. [41.13],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",3428,43,KEVIN HEINIGER,M,SUI,37+  36. | 23+  47. [42.49],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",4795,44,JURE BECAN,M,SLO,35+  45. | 27   40. [42.66],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",3430,45,FRANZ KRAKENBERGER,M,SUI,37   41. | 25   45. [43.45],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",4947,46,REINALDO CAMACHO,M,VEN,36+  43. | 25   45. [44.49],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",3897,47,TOMAS RAVANAL,M,CHI,32+  49. | 26   41. [45.09],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",4949,48,FILIP BABICZ,M,POL,35+  45. | 22+  49. [47.70],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",5001,49,SAKAE NAKAHARA,M,JPN,33+  48. | 22+  49. [48.99],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",6008,50,GERARD RULL FLORES,M,ESP,32   50. | 22+  49. [50.25],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",1735,51,JOSH LARSON,M,USA,25   54. | 23+  47. [50.65],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",6020,52,MICHAL ROZEK,M,CZE,32   50. | 21+  52. [51.24],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",1367,53,TOMAS BINTER,M,CZE,27   52. | 18+  53. [52.75],,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",5900,54,DIEGO MARTÍN MARSELLA PRADO,M,ARG,27   52. | 16+  54. [53.24],,
